[节点分类]
[数据集 dataset=Citeseer]
[卷积块个数 blocks=2]
[DropEdge概率 dropedge=0.1]
[是否使用PairNorm norm=True]
[是否添加自环 selfloop=True]
[激活函数 act=ReLU()]

Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.x
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.tx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.allx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.y
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.ty
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.ally
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.graph
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.citeseer.test.index
Processing...
Done!
Data(x=[3327, 3703], edge_index=[2, 9104], y=[3327], train_mask=[3327], val_mask=[3327], test_mask=[3327])
【开始训练】
[epoch=77/300, train_loss=0.144988,train_acc=1.000000, verify_loss=1.721070,verify_acc=0.284000, time=0.381658 秒]
[epoch=78/300, train_loss=0.142922,train_acc=1.000000, verify_loss=1.718283,verify_acc=0.282000, time=0.303550 秒]
[epoch=79/300, train_loss=0.143531,train_acc=1.000000, verify_loss=1.716075,verify_acc=0.274000, time=0.392599 秒]
[epoch=80/300, train_loss=0.144810,train_acc=1.000000, verify_loss=1.724739,verify_acc=0.280000, time=0.345699 秒]
[epoch=81/300, train_loss=0.139327,train_acc=1.000000, verify_loss=1.729312,verify_acc=0.296000, time=0.289917 秒]
[epoch=82/300, train_loss=0.133881,train_acc=1.000000, verify_loss=1.725103,verify_acc=0.302000, time=0.307348 秒]
[epoch=83/300, train_loss=0.147194,train_acc=1.000000, verify_loss=1.723421,verify_acc=0.302000, time=0.283858 秒]
[epoch=84/300, train_loss=0.143473,train_acc=1.000000, verify_loss=1.707371,verify_acc=0.332000, time=0.300692 秒]
[epoch=85/300, train_loss=0.140129,train_acc=1.000000, verify_loss=1.706726,verify_acc=0.332000, time=0.306267 秒]
[epoch=86/300, train_loss=0.126131,train_acc=1.000000, verify_loss=1.713929,verify_acc=0.314000, time=0.299264 秒]
[epoch=87/300, train_loss=0.133783,train_acc=1.000000, verify_loss=1.724173,verify_acc=0.284000, time=0.262073 秒]
[epoch=88/300, train_loss=0.137196,train_acc=1.000000, verify_loss=1.733699,verify_acc=0.286000, time=0.315509 秒]
[epoch=89/300, train_loss=0.141616,train_acc=1.000000, verify_loss=1.735886,verify_acc=0.284000, time=0.270803 秒]
[epoch=90/300, train_loss=0.130855,train_acc=1.000000, verify_loss=1.735306,verify_acc=0.284000, time=0.266096 秒]
[epoch=91/300, train_loss=0.132048,train_acc=1.000000, verify_loss=1.731122,verify_acc=0.288000, time=0.251683 秒]
[测试集：test_loss=1.740692, test_acc=0.259000, time=0.136106 秒]
运行总时间：27.072521 秒
